Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Faroe Islands,0.783,1.152,0.693,-0.220,-0.096,-0.479,0.181,0.897,0.392,0.407,0.504,0.575,1.293,1.525,1.157,0.612,1.247,0.922,0.864,1.402,0.091,1.112,0.400,0.683,1.660,0.850,0.893,1.192,0.888,0.725
Fiji,0.415,0.260,0.299,-0.061,0.112,0.512,0.578,0.310,0.938,0.569,0.786,0.878,0.851,0.766,0.629,0.773,0.741,1.210,0.678,0.441,1.056,1.024,0.678,1.063,0.853,0.828,1.301,1.275,1.146,1.209
Finland,1.679,1.085,1.359,0.530,0.471,1.067,0.375,0.961,0.072,1.111,2.321,0.905,1.034,1.253,1.349,1.982,1.718,1.913,2.027,1.219,-0.093,2.303,0.708,2.119,2.462,2.808,2.025,1.506,2.064,1.722
France,1.311,0.282,0.750,0.389,1.547,1.095,0.108,1.382,0.847,1.211,1.361,1.018,1.390,1.681,0.915,0.895,1.528,1.309,0.929,1.254,0.183,1.910,1.113,0.696,2.009,1.844,1.483,1.718,2.186,2.024
French Guiana,0.371,0.372,0.483,0.478,0.449,0.888,0.574,0.666,1.396,0.613,0.515,0.647,0.717,0.987,1.067,1.339,0.833,1.229,0.901,1.247,1.494,1.054,1.101,1.144,1.257,1.371,1.737,1.454,1.167,1.612
French Polynesia,0.433,0.362,0.338,0.203,0.524,0.495,0.143,0.373,0.600,0.391,0.300,0.496,0.834,0.755,0.513,0.702,0.818,0.809,0.395,0.870,0.708,0.201,0.762,0.519,0.619,0.718,1.142,0.900,0.647,0.813
French Southern and Antarctic Territories,0.292,0.626,0.404,0.738,0.042,0.076,0.266,0.993,0.754,0.448,0.571,0.681,0.538,0.459,0.558,0.188,0.452,0.166,0.346,0.326,0.512,0.555,0.779,0.408,0.027,0.712,1.044,1.039,0.913,0.683
Gabon,0.079,0.003,-0.263,0.182,0.199,0.548,0.125,0.294,0.998,0.467,0.227,0.224,0.646,0.829,0.758,0.604,0.678,0.846,0.825,0.709,0.925,0.493,0.513,0.713,0.768,0.944,1.361,1.237,0.970,1.630
Gambia,1.255,0.931,0.905,1.088,0.720,1.116,1.300,1.288,1.532,0.811,0.924,1.502,1.469,1.037,1.336,1.663,1.149,1.348,1.565,0.897,1.625,1.125,1.205,1.280,1.482,1.515,2.028,1.948,1.402,1.641
Georgia,,,-1.200,-0.994,0.232,1.006,0.630,0.138,1.459,1.345,0.859,1.261,0.642,0.261,0.785,0.920,1.062,0.924,0.732,1.002,2.640,0.068,1.275,1.177,1.654,1.612,1.109,1.332,2.513,1.857
Germany,1.425,0.290,1.292,0.444,1.661,0.876,-0.726,0.913,1.048,1.456,1.858,0.995,1.558,1.369,0.934,0.985,1.563,1.853,1.497,1.212,-0.135,1.742,1.140,0.766,2.431,1.995,1.649,1.661,2.490,2.341
